index,FAC_NO,FAC_NAME,YEAR_QTR,BEG_DATE,END_DATE,OP_STATUS,COUNTY_NAME,HSA,HFPA,TYPE_CNTRL,TYPE_HOSP,TEACH_RURL,PHONE,ADDRESS,CITY,ZIP_CODE,CEO,LIC_BEDS,AVL_BEDS,STF_BEDS,DIS_MCAR,DIS_MCAR_MC,DIS_MCAL,DIS_MCAL_MC,DIS_CNTY,DIS_CNTY_MC,DIS_THRD,DIS_THRD_MC,DIS_INDGNT,DIS_OTH,DIS_TOT,DIS_LTC,DAY_MCAR,DAY_MCAR_MC,DAY_MCAL,DAY_MCAL_MC,DAY_CNTY,DAY_CNTY_MC,DAY_THRD,DAY_THRD_MC,DAY_INDGNT,DAY_OTH,DAY_TOT,DAY_LTC,VIS_MCAR,VIS_MCAR_MC,VIS_MCAL,VIS_MCAL_MC,VIS_CNTY,VIS_CNTY_MC,VIS_THRD,VIS_THRD_MC,VIS_INDGNT,VIS_OTH,VIS_TOT,GRIP_MCAR,GRIP_MCAR_MC,GRIP_MCAL,GRIP_MCAL_MC,GRIP_CNTY,GRIP_CNTY_MC,GRIP_THRD,GRIP_THRD_MC,GRIP_INDGNT,GRIP_OTH,GRIP_TOT,GROP_MCAR,GROP_MCAR_MC,GROP_MCAL,GROP_MCAL_MC,GROP_CNTY,GROP_CNTY_MC,GROP_THRD,GROP_THRD_MC,GROP_INDGNT,GROP_OTH,GROP_TOT,BAD_DEBT,CADJ_MCAR,CADJ_MCAR_MC,CADJ_MCAL,CADJ_MCAL_MC,DISP_855,CADJ_CNTY,CADJ_CNTY_MC,CADJ_THRD,CADJ_THRD_MC,CHAR_HB,CHAR_OTH,SUB_INDGNT,TCH_ALLOW,TCH_SUPP,DED_OTH,DED_TOT,CAP_MCAR,CAP_MCAL,CAP_CNTY,CAP_THRD,CAP_TOT,NET_MCAR,NET_MCAR_MC,NET_MCAL,NET_MCAL_MC,NET_CNTY,NET_CNTY_MC,NET_THRD,NET_THRD_MC,NET_INDGNT,NET_OTH,NET_TOT,OTH_OP_REV,TOT_OP_EXP,PHY_COMP,NONOP_REV,DIS_PIPS,DAY_PIPS,EXP_PIPS,EXP_POPS,CAP_EXP,FIX_ASSETS,DISP_TRNFR,DIS_TOT_CC,PAT_DAY_TOT_CC,TOT_OUT_VIS_CC,GROS_INPAT_REV_CC,GROS_OUTPAT_REV_CC,CONTR_ADJ_CC,OTHR_DEDUCT_CC,CAP_PREM_REV_CC,NET_PAT_REV_CC,QA_FEES,QA_SUPPL_PAY,MNGD_CARE_QA_PAY
1,106580996,ADVENTIST HEALTH AND RIDEOUT,20234,10/01/2023,12/31/2023,Open,Yuba,02 - Golden Empire,227,Non Profit Corp.,Comparable,,530-749-4663,726 FOURTH STREET,MARYSVILLE,95901,RICK RAWSON,221,221,147,1088,292,199,622,0,0,0,433,2,104,2740,0,6137,1800,814,2940,0,0,0,1479,2,228,13400,0,14903,2882,2767,12980,0,0,1180,9649,21,2402,46784,139938825,37503477,13211911,64950249,0,0,0,46578210,130809,6066470,308379951,81935974,16633173,9531550,66922522,0,0,1884138,55562095,209511,7300654,239979617,-2870540,184068504,48024301,19561015,110938393,75008,0,0,680195,56041787,0,4497235,0,0,0,6968201,427984099,0,0,0,0,0,38383969,7254156,3714656,24221747,0,0,1162842,44245918,0,1392181,120375469,8392205,140058416,0,327817,0,0,0,0,550704,296246215,0,0,0,0,0,0,0,0,0,0,0,0,0
2,106150788,ADVENTIST HEALTH BAKERSFIELD,20234,10/01/2023,12/31/2023,Open,Kern,09 - Central,617,Non Profit Corp.,Comparable,,661-395-3000,2615 CHESTER AVENUE,BAKERSFIELD,93301,SHARLET BRIGGS,254,254,175,684,907,133,880,0,0,234,955,1,24,3818,0,3410,3751,718,3553,0,0,1079,3177,2,86,15776,0,14037,5960,958,14286,0,0,3378,21733,2,1956,62310,86290324,97553213,12203646,82996504,0,0,24462378,80180535,142147,7636888,391465635,61041165,70070277,4488572,81084762,0,0,29771305,110082021,9079,6491543,363038724,574823,134156936,142921875,16591962,137346983,0,0,0,42642844,139678983,0,784404,0,0,0,8543743,623242553,0,0,0,0,0,13065849,24418529,20172,26058201,0,0,11410815,50023757,0,6264483,131261806,15251283,143383319,0,2824312,0,0,0,0,2195393,129067181,0,0,0,0,0,0,0,0,0,0,0,0,0
3,106171049,ADVENTIST HEALTH CLEARLAKE,20234,10/01/2023,12/31/2023,Open,Lake,01 - Northern California,115,Non Profit Corp.,Comparable,Rural,707-995-5820,15630 18TH AVENUE,CLEARLAKE,95422,DAVID SANTOS,25,25,15,121,44,12,101,0,0,12,30,0,4,324,0,578,199,36,326,0,0,54,83,0,32,1308,0,29148,6652,7591,31983,0,0,3225,13626,13,1566,93804,9693429,3743954,328337,6682638,0,0,800968,2004502,0,911950,24165778,33037634,8598625,4569736,33675501,0,0,3962929,14290543,41222,2316559,100492749,-1679420,32264734,7851685,3027055,22595754,-518092,0,0,1756583,10560289,0,1202053,0,0,0,745223,77805864,0,387651,0,0,387651,10472131,3930913,1899638,21206636,0,0,2994076,6547199,915,188806,47240314,1154607,44961010,0,2200173,0,0,0,0,5015451,47586306,0,0,0,0,0,0,0,0,0,0,0,0,0
4,106150706,ADVENTIST HEALTH DELANO,20234,10/01/2023,12/31/2023,Open,Kern,09 - Central,617,Non Profit Corp.,Comparable,,661-725-4800,1401 GARCES HIGHWAY,DELANO,93215,DAVID BUTLER,156,156,65,144,37,163,234,0,0,30,25,0,10,643,15,1488,264,2836,870,0,0,83,61,0,56,5658,4081,1708,718,1135,10052,0,0,892,2253,0,847,17605,8193176,1479327,12073736,6420196,0,0,793637,575175,0,538703,30073950,2837070,1718522,1631975,13895218,0,0,2405325,3181001,0,1063859,26732970,87445,7434434,1301442,6430306,7976833,-2206167,0,0,1928659,2265200,0,227961,0,0,0,369415,25815528,0,79,0,0,79,3584673,1848503,8135826,13619853,0,0,1268643,1489540,0,1044433,30991471,5378893,28094784,0,5668441,0,0,0,0,590930,43565252,0,0,0,0,0,0,0,0,0,0,0,0,0
5,106190323,ADVENTIST HEALTH GLENDALE,20234,10/01/2023,12/31/2023,Open,Los Angeles,11 - Los Angeles,909,Church,Comparable,,818-409-8000,1509 WILSON TERRACE,GLENDALE,91206,KEVIN ROBERTS,515,462,293,1968,607,410,790,0,0,46,907,2,30,4760,0,11645,3251,4142,3308,0,0,146,4009,6,108,26615,0,14980,3009,1188,7023,0,0,1606,17568,5,507,45886,287066727,93989832,38764003,114677741,0,0,18974660,73016318,47595,12696561,639233437,91088650,32355602,5649017,88006834,0,0,4115933,78661348,44471,7124629,307046484,2743597,329789456,110803873,40987181,165900966,0,0,0,21632756,118126086,0,2921225,0,0,0,14528585,807433725,0,0,0,0,0,47270386,15128939,1998208,36781036,0,0,830695,33443627,0,3393305,138846196,11693068,159039542,0,529430,0,0,0,0,4740392,157767426,0,0,0,0,0,0,0,0,0,0,0,0,0
6,106164029,ADVENTIST HEALTH HANFORD,20234,10/01/2023,12/31/2023,Open,Kings,09 - Central,615,Church,Comparable,Rural,559-537-0056,115 MALL DRIVE,HANFORD,93230,TIM HAYDOCK,235,235,111,516,323,173,875,0,0,126,361,2,103,2479,0,2518,1581,670,3390,0,0,432,1187,3,404,10185,0,8900,3872,2706,26783,0,0,3851,13114,26,2021,61273,35374553,22134075,6149366,41368211,0,0,5678810,17557697,83775,3399986,131746473,43939013,25716264,7595815,125152763,0,0,16263008,55165262,173351,11979391,285984867,2093421,62288942,40804165,9826174,140102697,-1577018,0,0,17307955,46044759,0,1762233,0,0,0,8510294,327163622,0,8895974,0,0,8895974,17370194,6734089,3930205,36646533,0,0,5130402,26463619,2799,3185851,99463692,10101517,99831719,0,23571468,0,0,0,0,674933,151074835,0,0,0,0,0,0,0,0,0,0,0,0,0
7,106234038,ADVENTIST HEALTH HOWARD MEMORIAL,20234,10/01/2023,12/31/2023,Open,Mendocino,01 - Northern California,112,Non Profit Corp.,Comparable,Rural,707-459-6801,1 MARCELA DRIVE,WILLITS,95490,JASON WELLS,25,25,15,168,37,11,70,0,0,16,22,1,7,332,0,657,185,49,282,0,0,80,76,3,27,1359,0,6503,1349,230,5056,0,0,1787,2558,2,244,17729,13297909,3606358,414730,5051126,0,0,1443171,1834016,49768,1201205,26898283,20252205,3679795,501852,14781536,0,0,2125827,10336733,993,1158378,52837319,705763,23656436,5256270,1255095,17069315,-73772,0,0,1449671,7479960,0,107393,0,0,0,1109689,58015820,0,1063693,0,0,1063693,9474603,1887470,-327024,3785378,0,0,2124923,4514385,0,1323740,22783475,297415,23212341,0,3358592,0,0,0,0,222600,47904844,0,0,0,0,0,0,0,0,0,0,0,0,0
8,106390923,ADVENTIST HEALTH LODI MEMORIAL,20234,10/01/2023,12/31/2023,Open,San Joaquin,06 - North San Joaquin,505,Non Profit Corp.,Comparable,,209-334-3411,975 SOUTH FAIRMONT AVENUE,LODI,95240-5179,DANIEL WOLCOTT,194,194,101,623,370,123,496,0,0,78,263,1,9,1963,0,3138,1932,714,2177,0,0,275,977,3,28,9244,0,8818,4753,1894,19663,0,0,1509,9591,5,3153,49386,99450259,60886658,16922945,66442142,0,0,7344928,31310751,67395,2722698,285147776,64063595,36630978,6758103,83377677,0,0,8751648,58028265,96037,11606327,269312630,-1419495,144571178,91172905,21571265,130762589,0,0,0,12353896,65377213,0,1322132,0,0,0,10523634,476235317,0,54529,0,0,54529,18866576,7915460,2174926,19023412,0,0,3673530,24271143,134,2354437,78279618,5797462,78632749,0,218026,0,0,0,0,3968704,104665104,0,0,0,0,0,0,0,0,0,0,0,0,0
9,106231013,ADVENTIST HEALTH MENDOCINO COAST,20234,10/01/2023,12/31/2023,Open,Mendocino,01 - Northern California,111,Non Profit Corp.,Comparable,Rural,707-961-1234,700 RIVER DRIVE,FORT BRAGG,95437,WAYNE ALLEN,25,25,15,123,34,4,36,0,0,15,8,0,3,223,0,751,210,24,220,0,0,89,46,0,20,1360,0,11898,1685,198,1935,0,0,2230,4696,39,272,22953,5558719,1553403,176082,1597691,0,0,660926,340820,0,175402,10063043,16099875,3249963,630732,5457503,0,0,1201417,5225203,144522,325572,32334787,3325142,13328009,1414157,253560,2217257,0,0,0,1239583,3703750,0,2917,0,0,0,406640,25891015,0,135351,0,0,135351,7606622,3143129,313515,3331168,0,0,606446,1397946,40000,203340,16642166,125825,22320464,0,1054939,0,0,0,0,971959,9407638,0,0,0,0,0,0,0,0,0,0,0,0,0
10,106100797,ADVENTIST HEALTH REEDLEY,20234,10/01/2023,12/31/2023,Open,Fresno,09 - Central,607,Non Profit Corp.,Comparable,Rural,559-537-0056,372 WEST CYPRESS AVENUE,REEDLEY,93654,TIM HAYDOCK,49,49,16,39,17,50,261,0,0,8,52,0,12,439,0,245,129,130,662,0,0,52,114,0,51,1383,0,14689,7248,10213,80936,0,0,1843,22485,1914,2357,141685,1827799,770369,952443,7204904,0,0,159125,1438506,0,422519,12775665,9975121,6145907,5206848,56355808,0,0,1733710,13379382,553905,3901504,97252185,1376484,2651553,5077777,1947688,27377800,-655563,0,0,847469,7219578,0,1215531,0,0,0,3781473,50839790,0,740436,0,0,740436,8805269,1629028,4120442,36892037,0,0,810685,7228244,31834,410957,59928496,795281,49429663,0,8186641,0,0,0,0,6044641,48310551,0,0,0,0,0,0,0,0,0,0,0,0,0
